player_id,firstname,lastname,season_id,season_ts,regular_fg3m,regular_pts,playoffs_fg3m,playoffs_pts,total_regular_fg3m,total_regular_pts,total_playoffs_fg3m,total_playoffs_pts,season_number
2.0,Byron,Scott,1982-83,1982-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.0,Byron,Scott,1983-84,1983-12-31,8.0,788.0,2.0,171.0,8.0,788.0,2.0,171.0,1
2.0,Byron,Scott,1984-85,1984-12-31,26.0,1295.0,10.0,321.0,34.0,2083.0,12.0,492.0,2
2.0,Byron,Scott,1985-86,1985-12-31,22.0,1174.0,6.0,224.0,56.0,3257.0,18.0,716.0,3
2.0,Byron,Scott,1986-87,1986-12-31,65.0,1397.0,7.0,266.0,121.0,4654.0,25.0,982.0,4
2.0,Byron,Scott,1987-88,1987-12-31,62.0,1754.0,24.0,470.0,183.0,6408.0,49.0,1452.0,5
2.0,Byron,Scott,1988-89,1988-12-31,77.0,1448.0,15.0,219.0,260.0,7856.0,64.0,1671.0,6
2.0,Byron,Scott,1989-90,1989-12-31,93.0,1197.0,13.0,121.0,353.0,9053.0,77.0,1792.0,7
2.0,Byron,Scott,1990-91,1990-12-31,71.0,1191.0,20.0,237.0,424.0,10244.0,97.0,2029.0,8
2.0,Byron,Scott,1991-92,1991-12-31,54.0,1218.0,7.0,75.0,478.0,11462.0,104.0,2104.0,9
2.0,Byron,Scott,1992-93,1992-12-31,44.0,792.0,8.0,68.0,522.0,12254.0,112.0,2172.0,10
2.0,Byron,Scott,1993-94,1993-12-31,27.0,696.0,9.0,125.0,549.0,12950.0,121.0,2297.0,11
2.0,Byron,Scott,1994-95,1994-12-31,79.0,802.0,9.0,103.0,628.0,13752.0,130.0,2400.0,12
2.0,Byron,Scott,1995-96,1995-12-31,74.0,819.0,0.0,0.0,702.0,14571.0,130.0,2400.0,13
2.0,Byron,Scott,1996-97,1996-12-31,73.0,526.0,4.0,51.0,775.0,15097.0,134.0,2451.0,14
17.0,Clyde,Drexler,1982-83,1982-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
17.0,Clyde,Drexler,1983-84,1983-12-31,1.0,628.0,0.0,36.0,1.0,628.0,0.0,36.0,1
17.0,Clyde,Drexler,1984-85,1984-12-31,8.0,1377.0,2.0,150.0,9.0,2005.0,2.0,186.0,2
17.0,Clyde,Drexler,1985-86,1985-12-31,12.0,1389.0,2.0,72.0,21.0,3394.0,4.0,258.0,3
17.0,Clyde,Drexler,1986-87,1986-12-31,11.0,1782.0,1.0,96.0,32.0,5176.0,5.0,354.0,4
17.0,Clyde,Drexler,1987-88,1987-12-31,11.0,2185.0,3.0,88.0,43.0,7361.0,8.0,442.0,5
17.0,Clyde,Drexler,1988-89,1988-12-31,27.0,2123.0,0.0,83.0,70.0,9484.0,8.0,525.0,6
17.0,Clyde,Drexler,1989-90,1989-12-31,30.0,1703.0,9.0,449.0,100.0,11187.0,17.0,974.0,7
17.0,Clyde,Drexler,1990-91,1990-12-31,61.0,1767.0,15.0,347.0,161.0,12954.0,32.0,1321.0,8
17.0,Clyde,Drexler,1991-92,1991-12-31,114.0,1903.0,19.0,553.0,275.0,14857.0,51.0,1874.0,9
17.0,Clyde,Drexler,1992-93,1992-12-31,31.0,976.0,5.0,57.0,306.0,15833.0,56.0,1931.0,10
17.0,Clyde,Drexler,1993-94,1993-12-31,71.0,1303.0,3.0,84.0,377.0,17136.0,59.0,2015.0,11
17.0,Clyde,Drexler,1994-95,1994-12-31,147.0,1653.0,30.0,450.0,524.0,18789.0,89.0,2465.0,12
17.0,Clyde,Drexler,1995-96,1995-12-31,78.0,1005.0,9.0,133.0,602.0,19794.0,98.0,2598.0,13
17.0,Clyde,Drexler,1996-97,1996-12-31,119.0,1114.0,38.0,290.0,721.0,20908.0,136.0,2888.0,14
17.0,Clyde,Drexler,1997-98,1997-12-31,106.0,1287.0,5.0,75.0,827.0,22195.0,141.0,2963.0,15
45.0,George,McCloud,1988-89,1988-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
45.0,George,McCloud,1989-90,1989-12-31,13.0,118.0,0.0,2.0,13.0,118.0,0.0,2.0,1
45.0,George,McCloud,1990-91,1990-12-31,43.0,343.0,0.0,0.0,56.0,461.0,0.0,2.0,2
45.0,George,McCloud,1991-92,1991-12-31,32.0,338.0,3.0,23.0,88.0,799.0,3.0,25.0,3
45.0,George,McCloud,1992-93,1992-12-31,58.0,565.0,2.0,19.0,146.0,1364.0,5.0,44.0,4
45.0,George,McCloud,1994-95,1994-12-31,34.0,402.0,0.0,0.0,180.0,1766.0,5.0,44.0,5
45.0,George,McCloud,1995-96,1995-12-31,257.0,1497.0,0.0,0.0,437.0,3263.0,5.0,44.0,6
45.0,George,McCloud,1996-97,1996-12-31,99.0,658.0,0.0,0.0,536.0,3921.0,5.0,44.0,7
45.0,George,McCloud,1997-98,1997-12-31,71.0,456.0,12.0,57.0,607.0,4377.0,17.0,101.0,8
45.0,George,McCloud,1998-99,1998-12-31,69.0,428.0,9.0,42.0,676.0,4805.0,26.0,143.0,9
45.0,George,McCloud,1999-00,1999-12-31,107.0,787.0,0.0,0.0,783.0,5592.0,26.0,143.0,10
45.0,George,McCloud,2000-01,2000-12-31,77.0,729.0,0.0,0.0,860.0,6321.0,26.0,143.0,11
45.0,George,McCloud,2001-02,2001-12-31,60.0,604.0,0.0,0.0,920.0,6925.0,26.0,143.0,12
56.0,Gary,Payton,1989-90,1989-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
56.0,Gary,Payton,1990-91,1990-12-31,1.0,588.0,0.0,24.0,1.0,588.0,0.0,24.0,1
56.0,Gary,Payton,1991-92,1991-12-31,3.0,764.0,0.0,61.0,4.0,1352.0,0.0,85.0,2
56.0,Gary,Payton,1992-93,1992-12-31,7.0,1110.0,1.0,234.0,11.0,2462.0,1.0,319.0,3
56.0,Gary,Payton,1993-94,1993-12-31,15.0,1349.0,3.0,79.0,26.0,3811.0,4.0,398.0,4
56.0,Gary,Payton,1994-95,1994-12-31,70.0,1689.0,2.0,71.0,96.0,5500.0,6.0,469.0,5
56.0,Gary,Payton,1995-96,1995-12-31,98.0,1563.0,41.0,434.0,194.0,7063.0,47.0,903.0,6
56.0,Gary,Payton,1996-97,1996-12-31,119.0,1785.0,25.0,285.0,313.0,8848.0,72.0,1188.0,7
56.0,Gary,Payton,1997-98,1997-12-31,134.0,1571.0,19.0,240.0,447.0,10419.0,91.0,1428.0,8
56.0,Gary,Payton,1998-99,1998-12-31,83.0,1084.0,0.0,0.0,530.0,11503.0,91.0,1428.0,9
56.0,Gary,Payton,1999-00,1999-12-31,177.0,1982.0,9.0,129.0,707.0,13485.0,100.0,1557.0,10
56.0,Gary,Payton,2000-01,2000-12-31,102.0,1823.0,0.0,0.0,809.0,15308.0,100.0,1557.0,11
56.0,Gary,Payton,2001-02,2001-12-31,74.0,1815.0,4.0,111.0,883.0,17123.0,104.0,1668.0,12
56.0,Gary,Payton,2002-03,2002-12-31,54.0,1634.0,1.0,111.0,937.0,18757.0,105.0,1779.0,13
56.0,Gary,Payton,2003-04,2003-12-31,55.0,1199.0,14.0,171.0,992.0,19956.0,119.0,1950.0,14
56.0,Gary,Payton,2004-05,2004-12-31,42.0,873.0,1.0,72.0,1034.0,20829.0,120.0,2022.0,15
56.0,Gary,Payton,2005-06,2005-12-31,66.0,626.0,17.0,133.0,1100.0,21455.0,137.0,2155.0,16
56.0,Gary,Payton,2006-07,2006-12-31,32.0,358.0,0.0,0.0,1132.0,21813.0,137.0,2155.0,17
64.0,Sam,Perkins,1983-84,1983-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
64.0,Sam,Perkins,1984-85,1984-12-31,9.0,903.0,1.0,75.0,9.0,903.0,1.0,75.0,1
64.0,Sam,Perkins,1985-86,1985-12-31,11.0,1234.0,2.0,149.0,20.0,2137.0,3.0,224.0,2
64.0,Sam,Perkins,1986-87,1986-12-31,19.0,1186.0,0.0,68.0,39.0,3323.0,3.0,292.0,3
